"Latest: Time (s)","Latest: Angle (rad)","Latest: Velocity (rad/s)","Latest: Acceleration (rad/s²)"
9.15,-0.0349065850399,1.06659009844,3.99701945981
9.2,0.0349065850399,1.12476774017,-3.88389626756
9.25,0.10471975512,0.610865238198,-10.0948982044
9.3,0.10471975512,-0.116355283466,-11.2530642204
9.35,0.0872664625997,-0.727220521664,-7.5146120572
9.4,0.0174532925199,-0.998716183086,-0.732607340343
9.45,-0.0349065850399,-0.775701889775,5.62922551955
9.5,-0.0698131700798,-0.300584482288,8.96366628185
9.55,-0.0698131700798,0.281191935044,8.50578669413
9.6,-0.0349065850399,0.70782797442,4.44951222885
9.65,0.0174532925199,0.775701889775,-0.921145994108
9.7,0.0523598775598,0.581776417331,-5.53764960201
9.75,0.0872664625997,0.135747830711,-7.99403891963
9.8,0.0698131700798,-0.387850944888,-6.69042879931
9.85,0.0349065850399,-0.639954059065,-2.7957588944
9.9,0,-0.70782797442,2.07392519141
9.95,-0.0523598775598,-0.416939765754,6.3079646731
10,-0.0523598775598,0.0872664625997,7.02441155741
10.05,-0.0349065850399,0.436332312999,4.4118044981
10.1,0,0.581776417331,0.371690488851
10.15,0.0349065850399,0.455724860243,-3.35060121833
10.2,0.0523598775598,0.164836651577,-5.21444048127
10.25,0.0523598775598,-0.155140377955,-4.93432590996
10.3,0.0349065850399,-0.416939765754,-2.65031479007
10.35,0,-0.455724860243,0.48481368111
10.4,-0.0174532925199,-0.329673303154,2.93042936137
10.45,-0.0349065850399,-0.126051557088,4.37409676734
10.5,-0.0349065850399,0.164836651577,4.27713403112
10.55,-0.0174532925199,0.407243492132,1.99850972991
10.6,0.0174532925199,0.416939765754,-1.29822330164
10.65,0.0349065850399,0.203621746066,-3.24286484475
10.7,0.0349065850399,0.00969627362219,-3.40446940512
10.75,0.0349065850399,-0.164836651577,-2.61799387799
10.8,0.0174532925199,-0.290888208666,-0.888825082034
10.85,0,-0.281191935044,1.2820628456
10.9,-0.0174532925199,-0.135747830711,2.80114571308
10.95,-0.0174532925199,0.0872664625997,2.58028614724
11,0,0.164836651577,1.30361012032
11.05,0,0.193925472444,0.204699109802
11.1,0.0174532925199,0.22301429331,-1.42750694993
11.15,0.0349065850399,0.0290888208666,-2.44561568026
11.2,0.0174532925199,-0.116355283466,-1.64836651577
11.25,0.0174532925199,-0.155140377955,-0.333982758098
11.3,0,-0.135747830711,0.781088708454
11.35,0,-0.0387850944888,1.13661874127
11.4,0,0,0.980400999577
11.45,0,0.0387850944888,0.996561455614
11.5,0,0.126051557088,0.490200499789
11.55,0.0174532925199,0.126051557088,-0.667965516195
11.6,0.0174532925199,0.0290888208666,-1.28744966428
11.65,0.0174532925199,-0.0290888208666,-1.2820628456
11.7,0.0174532925199,-0.126051557088,-0.635644604121
11.75,0,-0.126051557088,0.635644604121
11.8,0,-0.0290888208666,1.2820628456
11.85,0,0.0290888208666,1.2820628456
11.9,0,0.126051557088,0.635644604121
11.95,0.0174532925199,0.126051557088,-0.635644604121
12,0.0174532925199,0.0290888208666,-1.2820628456
12.05,0.0174532925199,-0.0290888208666,-1.28744966428
12.1,0.0174532925199,-0.126051557088,-0.673352334874
12.15,0,-0.126051557088,0.457879587715
12.2,0,-0.0387850944888,0.845730532602
12.25,0,-0.00969627362219,0.651805060158
12.3,0,0.00969627362219,0.619484148084
12.35,0,0.0387850944888,0.667965516195
12.4,0,0.116355283466,0.021547274716
12.45,0.0174532925199,0.0872664625997,-1.30361012032
12.5,0.0174532925199,-0.0872664625997,-1.30361012032
12.55,0,-0.116355283466,0.016160456037
12.6,0,-0.0387850944888,0.630257785442
12.65,0,-0.00969627362219,0.436332312999
12.7,0,0,0.177765016407
12.75,0,0,0.037707730753
12.8,0,0,0.00538681867899
12.85,0,0,0
12.9,0,0,0
12.95,0,0,0
13,0,0,0
13.05,0,0,0
13.1,0,0,0
13.15,0,0,0
13.2,0,0,0
13.25,0,0,0
13.3,0,0,0
13.35,0,0,0
13.4,0,0,0
13.45,0,0,0
13.5,0,0,0
13.55,0,0,0
13.6,0,0,0
13.65,0,0,0
13.7,0,0,0
13.75,0,0,0
13.8,0,0,0
13.85,0,0,0
13.9,0,0,0
13.95,0,0,0
14,0,0,0
14.05,0,0,0
14.1,0,0,0
14.15,0,0,0
14.2,0,0,0
14.25,0,0,0
14.3,0,0,0
14.35,0,0,0
14.4,0,0,0
14.45,0,0,0
14.5,0,0,0
14.55,0,0,0
14.6,0,0,0
14.65,0,0,0
14.7,0,0,0
14.75,0,0,0
14.8,0,0,0
14.85,0,0,0
14.9,0,0,0
14.95,0,0,0
15,0,0,0
15.05,0,0,0
15.1,0,0,0
15.15,0,0,0
15.2,0,0,0
15.25,0,0,0
15.3,0,0,0
15.35,0,0,0
15.4,0,0,0
15.45,0,0,0
15.5,0,0,0
15.55,0,0,0
15.6,0,0,0
15.65,0,0,0
15.7,0,0,0
15.75,0,0,0
15.8,0,0,0
15.85,0,0,0
15.9,0,0,0
15.95,0,0,0
16,0,0,0
16.05,0,0,0
16.1,0,0,0
16.15,0,0,0
16.2,0,0,0
16.25,0,0,0
16.3,0,0,0
16.35,0,0,0
16.4,0,0,0
16.45,0,0,0
16.5,0,0,0
16.55,0,0,0
16.6,0,0,0
16.65,0,0,0
16.7,0,0,0
16.75,0,0,0
16.8,0,0,0
16.85,0,0,0
16.9,0,0,0
16.95,0,0,0
17,0,0,0
17.05,0,0,0
17.1,0,0,0
17.15,0,0,0
17.2,0,0,0
17.25,0,0,0
17.3,0,0,0
17.35,0,0,0
17.4,0,0,0
17.45,0,0,0
17.5,0,0,0
17.55,0,0,0
17.6,0,0,0
17.65,0,0,0
17.7,0,0,0
17.75,0,0,0
17.8,0,0,0
17.85,0,0,0
17.9,0,0,0
17.95,0,0,0
18,0,0,0
18.05,0,0,0
18.1,0,0,0
18.15,0,0,0
18.2,0,0,0
18.25,0,0,0
18.3,0,0,0
18.35,0,0,0
18.4,0,0,0
18.45,0,0,0
18.5,0,0,0
18.55,0,0,0
18.6,0,0,0
18.65,0,0,0
18.7,0,0,0
18.75,0,0,0
18.8,0,0,0
18.85,0,0,0
18.9,0,0,0
18.95,0,0,0
19,0,0,0
19.05,0,0,0
19.1,0,0,0
19.15,0,0,0
19.2,0,0,0
19.25,0,0,0
19.3,0,0,0
19.35,0,0,0
19.4,0,0,0
19.45,0,0,0
19.5,0,0,0
19.55,0,0,0
19.6,0,0,0
19.65,0,0,0
19.7,0,0,0
19.75,0,0,0
19.8,0,0,0
19.85,0,0,0
19.9,0,0,0
19.95,0,0,0
20,0,0,0
