"Latest: Time (s)","Latest: Potential (psia)"
15.25,3.7393081523
15.3,3.12618272652
15.35,2.10430701688
15.4,2.71743244266
15.45,3.53493301037
15.5,2.92180758459
15.55,3.7393081523
15.6,2.71743244266
15.65,2.51305730073
15.7,3.53493301037
15.75,2.71743244266
15.8,3.33055786844
15.85,2.10430701688
15.9,2.51305730073
15.95,2.71743244266
16,2.30868215881
16.05,2.71743244266
16.1,2.71743244266
16.15,2.92180758459
16.2,2.92180758459
16.25,1.89993187495
16.3,2.30868215881
16.35,1.89993187495
16.4,2.51305730073
16.45,2.71743244266
16.5,2.71743244266
16.55,1.69555673303
16.6,1.89993187495
16.65,2.30868215881
16.7,2.10430701688
16.75,2.30868215881
16.8,1.89993187495
16.85,2.51305730073
16.9,2.30868215881
16.95,1.89993187495
17,2.10430701688
17.05,2.71743244266
17.1,1.4911815911
17.15,2.30868215881
17.2,2.30868215881
17.25,1.89993187495
17.3,1.89993187495
17.35,2.30868215881
17.4,1.28680644917
17.45,1.89993187495
17.5,2.30868215881
17.55,1.28680644917
17.6,2.10430701688
17.65,2.10430701688
17.7,2.10430701688
17.75,1.28680644917
17.8,2.10430701688
17.85,1.08243130724
17.9,1.4911815911
17.95,2.10430701688
18,2.10430701688
18.05,1.69555673303
18.1,1.08243130724
18.15,1.4911815911
18.2,0.67368102339
18.25,0.67368102339
18.3,1.4911815911
18.35,1.28680644917
18.4,1.69555673303
18.45,0.67368102339
18.5,1.69555673303
18.55,1.69555673303
18.6,0.878056165317
18.65,0.878056165317
18.7,1.28680644917
18.75,0.878056165317
18.8,0.878056165317
18.85,1.08243130724
18.9,1.08243130724
18.95,1.69555673303
19,0.67368102339
19.05,1.89993187495
19.1,1.08243130724
19.15,1.08243130724
19.2,1.4911815911
19.25,1.69555673303
19.3,1.28680644917
19.35,1.08243130724
19.4,1.4911815911
19.45,0.878056165317
19.5,1.08243130724
19.55,0.878056165317
19.6,0.67368102339
19.65,1.4911815911
19.7,1.08243130724
19.75,1.28680644917
19.8,1.28680644917
19.85,0.0605555976081
19.9,0.67368102339
19.95,0.67368102339
20,0.67368102339
20.05,0.264930739535
20.1,0.0605555976081
20.15,0.264930739535
20.2,1.08243130724
20.25,0.67368102339
20.3,0.469305881462
20.35,0.67368102339
20.4,0.67368102339
20.45,1.28680644917
20.5,1.28680644917
20.55,0.67368102339
20.6,0.469305881462
20.65,0.67368102339
20.7,0.67368102339
20.75,0.264930739535
20.8,0.264930739535
20.85,0.264930739535
20.9,0.264930739535
20.95,0.0605555976081
21,0.264930739535
21.05,0.469305881462
21.1,1.08243130724
21.15,-0.143819544319
21.2,0.469305881462
21.25,0.469305881462
21.3,0.469305881462
21.35,0.0605555976081
21.4,1.08243130724
21.45,0.264930739535
21.5,0.264930739535
21.55,0.878056165317
21.6,0.0605555976081
21.65,0.469305881462
21.7,0.469305881462
21.75,0.469305881462
21.8,0.878056165317
21.85,0.264930739535
21.9,0.67368102339
21.95,0.469305881462
22,0.469305881462
22.05,0.0605555976081
22.1,0.469305881462
22.15,0.264930739535
22.2,0.878056165317
22.25,-0.348194686246
22.3,-0.348194686246
22.35,-0.348194686246
22.4,0.264930739535
22.45,-0.348194686246
22.5,0.264930739535
22.55,0.264930739535
22.6,0.264930739535
22.65,-0.143819544319
22.7,0.67368102339
22.75,0.878056165317
22.8,0.264930739535
22.85,0.0605555976081
22.9,0.469305881462
22.95,-0.552569828174
23,0.264930739535
23.05,0.469305881462
23.1,0.0605555976081
23.15,0.469305881462
23.2,0.264930739535
23.25,-0.348194686246
23.3,0.0605555976081
23.35,0.469305881462
23.4,0.469305881462
23.45,0.0605555976081
23.5,0.264930739535
23.55,0.469305881462
23.6,0.0605555976081
23.65,-0.143819544319
23.7,0.264930739535
23.75,0.0605555976081
23.8,0.0605555976081
23.85,0.0605555976081
23.9,0.0605555976081
23.95,0.0605555976081
24,0.264930739535
24.05,0.878056165317
24.1,-0.552569828174
