"Latest: Time (s)","Latest: Temperature (°C)"
14.98,3.88367663349
15,4.31362512195
15.02,4.74357361041
15.04,5.17352209887
15.06,4.31362512195
15.08,5.17352209887
15.1,4.52859936618
15.12,4.31362512195
15.14,4.74357361041
15.16,4.31362512195
15.18,4.95854785464
15.2,3.88367663349
15.22,5.17352209887
15.24,4.95854785464
15.26,4.95854785464
15.28,3.88367663349
15.3,4.31362512195
15.32,4.09865087772
15.34,4.95854785464
15.36,4.31362512195
15.38,4.95854785464
15.4,3.88367663349
15.42,4.31362512195
15.44,4.52859936618
15.46,3.88367663349
15.48,4.95854785464
15.5,4.52859936618
15.52,4.74357361041
15.54,4.74357361041
15.56,3.88367663349
15.58,4.31362512195
15.6,4.74357361041
15.62,4.52859936618
15.64,4.09865087772
15.66,5.3884963431
15.68,3.66870238926
15.7,4.31362512195
15.72,4.52859936618
15.74,4.95854785464
15.76,4.52859936618
15.78,4.95854785464
15.8,4.09865087772
15.82,4.52859936618
15.84,4.74357361041
15.86,4.95854785464
15.88,4.31362512195
15.9,4.31362512195
15.92,4.52859936618
15.94,4.31362512195
15.96,4.74357361041
15.98,4.74357361041
16,4.74357361041
16.02,3.88367663349
16.04,5.17352209887
16.06,4.31362512195
16.08,4.95854785464
16.1,4.52859936618
16.12,4.74357361041
16.14,3.88367663349
16.16,4.95854785464
16.18,4.95854785464
16.2,4.09865087772
16.22,4.95854785464
16.24,4.52859936618
16.26,4.31362512195
16.28,3.66870238926
16.3,4.95854785464
16.32,4.52859936618
16.34,4.31362512195
16.36,4.31362512195
16.38,5.17352209887
16.4,4.52859936618
16.42,4.52859936618
16.44,4.95854785464
16.46,4.09865087772
16.48,4.52859936618
16.5,4.31362512195
16.52,4.74357361041
16.54,4.74357361041
16.56,4.74357361041
16.58,4.31362512195
16.6,4.74357361041
16.62,3.88367663349
16.64,4.95854785464
16.66,4.52859936618
16.68,4.52859936618
16.7,3.88367663349
16.72,4.52859936618
16.74,4.95854785464
16.76,4.95854785464
16.78,4.95854785464
16.8,3.88367663349
16.82,4.74357361041
16.84,3.66870238926
16.86,4.95854785464
16.88,4.31362512195
16.9,5.17352209887
16.92,3.88367663349
16.94,4.09865087772
16.96,3.88367663349
16.98,3.88367663349
17,4.31362512195
17.02,4.09865087772
17.04,4.95854785464
17.06,4.31362512195
17.08,4.95854785464
17.1,4.09865087772
17.12,5.17352209887
17.14,4.52859936618
17.16,4.95854785464
17.18,4.31362512195
17.2,4.09865087772
17.22,4.52859936618
17.24,4.95854785464
17.26,4.52859936618
17.28,4.74357361041
17.3,4.95854785464
17.32,4.31362512195
17.34,4.74357361041
17.36,3.66870238926
17.38,4.95854785464
17.4,4.95854785464
17.42,4.52859936618
17.44,4.09865087772
17.46,4.95854785464
17.48,4.31362512195
17.5,4.95854785464
17.52,4.95854785464
17.54,4.31362512195
17.56,3.88367663349
17.58,4.09865087772
17.6,5.17352209887
17.62,3.66870238926
17.64,4.95854785464
17.66,4.52859936618
17.68,4.74357361041
17.7,4.09865087772
17.72,3.88367663349
17.74,4.31362512195
17.76,4.74357361041
17.78,4.09865087772
17.8,4.09865087772
17.82,3.88367663349
17.84,3.66870238926
17.86,4.52859936618
17.88,4.31362512195
17.9,4.74357361041
17.92,3.88367663349
17.94,4.31362512195
17.96,4.09865087772
17.98,5.17352209887
18,4.52859936618
18.02,4.09865087772
18.04,4.52859936618
18.06,4.52859936618
18.08,4.31362512195
18.1,4.31362512195
18.12,3.88367663349
18.14,3.88367663349
18.16,4.95854785464
18.18,4.31362512195
18.2,4.31362512195
18.22,4.74357361041
18.24,4.31362512195
18.26,4.31362512195
18.28,4.74357361041
18.3,4.09865087772
18.32,5.17352209887
18.34,4.52859936618
18.36,4.31362512195
18.38,4.31362512195
18.4,4.09865087772
18.42,4.74357361041
18.44,4.09865087772
18.46,5.17352209887
18.48,4.52859936618
18.5,4.31362512195
18.52,3.88367663349
18.54,4.52859936618
18.56,3.66870238926
18.58,5.3884963431
18.6,4.95854785464
18.62,4.95854785464
18.64,4.95854785464
18.66,4.74357361041
18.68,4.74357361041
18.7,4.09865087772
18.72,5.17352209887
18.74,4.74357361041
18.76,3.88367663349
18.78,3.66870238926
18.8,4.31362512195
18.82,4.31362512195
18.84,4.31362512195
18.86,3.88367663349
18.88,3.66870238926
18.9,4.52859936618
18.92,4.31362512195
18.94,4.74357361041
18.96,4.74357361041
18.98,4.52859936618
19,4.09865087772
19.02,5.17352209887
19.04,4.31362512195
19.06,4.74357361041
19.08,4.52859936618
19.1,4.09865087772
19.12,4.52859936618
19.14,3.88367663349
19.16,5.17352209887
19.18,4.31362512195
19.2,4.09865087772
19.22,4.52859936618
19.24,4.95854785464
19.26,4.52859936618
19.28,4.74357361041
19.3,4.09865087772
19.32,4.09865087772
19.34,4.31362512195
19.36,3.66870238926
19.38,4.52859936618
19.4,4.09865087772
19.42,4.52859936618
19.44,4.31362512195
19.46,4.52859936618
19.48,4.74357361041
19.5,4.74357361041
19.52,4.31362512195
19.54,4.74357361041
19.56,4.74357361041
19.58,4.74357361041
19.6,4.09865087772
19.62,4.74357361041
19.64,4.95854785464
19.66,4.52859936618
19.68,4.74357361041
19.7,4.31362512195
19.72,4.09865087772
19.74,3.88367663349
19.76,4.09865087772
19.78,4.31362512195
19.8,4.74357361041
19.82,3.66870238926
19.84,4.52859936618
19.86,4.74357361041
19.88,4.74357361041
19.9,3.88367663349
19.92,4.52859936618
19.94,3.88367663349
19.96,3.88367663349
19.98,4.09865087772
20,4.74357361041
20.02,4.52859936618
20.04,3.88367663349
20.06,4.74357361041
20.08,3.88367663349
20.1,4.31362512195
20.12,4.74357361041
20.14,4.31362512195
20.16,4.31362512195
20.18,4.52859936618
20.2,4.31362512195
20.22,3.88367663349
20.24,4.52859936618
20.26,4.09865087772
20.28,4.52859936618
20.3,4.52859936618
20.32,4.74357361041
20.34,4.74357361041
20.36,4.95854785464
20.38,4.09865087772
20.4,4.31362512195
20.42,4.31362512195
20.44,4.31362512195
20.46,4.95854785464
20.48,3.88367663349
20.5,5.17352209887
20.52,3.66870238926
20.54,4.95854785464
20.56,4.09865087772
20.58,4.31362512195
20.6,4.52859936618
20.62,4.31362512195
20.64,4.31362512195
20.66,4.52859936618
20.68,3.2387539008
20.7,3.88367663349
20.72,4.95854785464
20.74,4.09865087772
20.76,4.31362512195
20.78,4.09865087772
20.8,4.52859936618
20.82,4.09865087772
20.84,4.74357361041
20.86,3.88367663349
20.88,4.74357361041
20.9,3.66870238926
20.92,4.52859936618
20.94,4.09865087772
20.96,4.09865087772
20.98,4.09865087772
21,4.09865087772
21.02,4.95854785464
21.04,4.52859936618
21.06,4.52859936618
21.08,4.09865087772
21.1,4.52859936618
21.12,4.09865087772
21.14,4.74357361041
21.16,4.52859936618
21.18,3.88367663349
21.2,4.52859936618
21.22,4.31362512195
21.24,4.52859936618
21.26,3.66870238926
21.28,4.74357361041
21.3,4.31362512195
21.32,4.74357361041
21.34,4.09865087772
21.36,5.17352209887
21.38,4.09865087772
21.4,4.52859936618
21.42,4.74357361041
21.44,4.52859936618
21.46,4.95854785464
21.48,3.88367663349
21.5,3.88367663349
21.52,4.74357361041
21.54,4.95854785464
21.56,4.31362512195
21.58,4.52859936618
21.6,4.31362512195
21.62,4.09865087772
21.64,4.09865087772
21.66,4.74357361041
21.68,4.09865087772
21.7,4.74357361041
21.72,4.09865087772
21.74,4.74357361041
21.76,3.88367663349
21.78,3.88367663349
21.8,4.95854785464
21.82,4.09865087772
21.84,4.09865087772
21.86,3.66870238926
21.88,4.74357361041
21.9,3.88367663349
21.92,4.95854785464
21.94,4.09865087772
21.96,3.88367663349
21.98,3.66870238926
22,4.95854785464
22.02,4.31362512195
22.04,3.88367663349
22.06,4.95854785464
22.08,3.66870238926
22.1,4.95854785464
22.12,3.66870238926
22.14,3.88367663349
22.16,3.88367663349
22.18,4.74357361041
22.2,4.95854785464
22.22,4.95854785464
22.24,4.52859936618
22.26,4.95854785464
22.28,4.74357361041
22.3,4.52859936618
22.32,4.74357361041
22.34,4.09865087772
22.36,4.31362512195
22.38,4.52859936618
22.4,4.09865087772
22.42,4.52859936618
22.44,4.95854785464
22.46,3.45372814503
22.48,4.74357361041
22.5,4.09865087772
22.52,5.17352209887
22.54,4.31362512195
22.56,4.52859936618
22.58,4.09865087772
22.6,4.09865087772
22.62,4.95854785464
22.64,4.52859936618
22.66,4.09865087772
22.68,3.88367663349
22.7,4.31362512195
22.72,4.74357361041
22.74,4.74357361041
22.76,3.66870238926
22.78,4.52859936618
22.8,3.88367663349
22.82,4.95854785464
22.84,4.09865087772
22.86,4.09865087772
22.88,4.31362512195
22.9,4.31362512195
22.92,3.88367663349
22.94,4.09865087772
22.96,4.52859936618
22.98,4.09865087772
23,4.74357361041
23.02,4.31362512195
23.04,4.74357361041
23.06,3.88367663349
23.08,4.31362512195
23.1,4.74357361041
23.12,3.88367663349
23.14,4.09865087772
23.16,4.31362512195
23.18,4.95854785464
23.2,4.09865087772
23.22,4.74357361041
23.24,3.88367663349
23.26,4.52859936618
23.28,4.52859936618
23.3,4.09865087772
23.32,4.31362512195
23.34,3.88367663349
23.36,4.31362512195
